controller_type,cost,dr_type,look_ahead,test_time
MPC-Oracle,1021.9,TOU,0,25.51203197
RBC,1216.3,TOU,0,0.012068323
DPC,1040.8,TOU,3,0.623462
DPC,1047.6,TOU,6,0.626185
DPC,1051.5,TOU,12,0.615763
DPC,1070.1,TOU,24,0.471822
MPC,1067.3,TOU,48,433.9865216
MPC-C,1114.7,TOU,48,177.065653
MPC,1124.8,TOU,36,312.6984417
MPC-C,1167.2,TOU,36,135.574911
MPC,1194.6,TOU,24,190.8949798
MPC-C,1219.7,TOU,24,98.825204
MPC,1315.4,TOU,12,89.99279532
MPC-C,1331.2,TOU,12,61.413275
CPL,1070.9,TOU,12,62.111732
MPC,1724.6,TOU,6,51.49567574
MPC-C,1764.7,TOU,6,47.70908
CPL,1127.8,TOU,6,47.624376
MPC,2855.1,TOU,3,30.68912129
MPC-C,2889.3,TOU,3,40.382812
CPL,1118.1,TOU,3,40.435444
RLC,1125.5,TOU,3,1.56252329
RLC,1140.4,TOU,6,1.48725471
RLC,1148.3,TOU,12,1.492529323
RLC,1101.3,TOU,24,2.003418516
MPC-Oracle,1338.4,RTP,0,15.63903226
RBC,1669.5,RTP,0,0.013723452
DPC,1389.5,RTP,3,0.70864
DPC,1384,RTP,6,0.70391
DPC,1390.6,RTP,12,0.717193
DPC,1385.8,RTP,24,0.719675
MPC,1385.6,RTP,48,478.1759741
MPC-C,1435.8,RTP,48,175.018658
MPC,1392.7,RTP,36,338.9230441
MPC-C,1423.4,RTP,36,134.296945
MPC,1399.7,RTP,24,198.7235662
MPC-C,1416,RTP,24,97.813046
MPC,1429.3,RTP,12,89.02703668
MPC-C,1431.8,RTP,12,61.611605
CPL,1410,RTP,12,62.254577
MPC,1669.6,RTP,6,51.07736581
MPC-C,1672.8,RTP,6,47.692974
CPL,1448.8,RTP,6,47.821121
MPC,3209,RTP,3,30.56426319
MPC-C,3224.6,RTP,3,40.546137
CPL,1596.5,RTP,3,40.655095
RLC,1490.8,RTP,3,1.593990548
RLC,1570.6,RTP,6,1.605497839
RLC,1475,RTP,12,1.651202161
RLC,1478.2,RTP,24,1.736719
MPC-Oracle,331.5,PC,0,34.56485913
RBC,1330.7,PC,0,0.012384097
DPC,740.5,PC,3,0.521105
DPC,666.5,PC,6,0.553303
DPC,779.6,PC,12,0.579434
DPC,634.2,PC,24,0.552158
MPC,646.2,PC,48,460.5306737
MPC-C,546.1,PC,48,230.33661
MPC,815,PC,36,330.7613924
MPC-C,664.6,PC,36,177.823568
MPC,991.7,PC,24,202.4909555
MPC-C,861.4,PC,24,125.359438
MPC,1156.9,PC,12,94.40416945
MPC-C,1252.4,PC,12,74.351011
CPL,672.6,PC,12,76.67031
MPC,1284.9,PC,6,51.02467642
MPC-C,1464,PC,6,53.497879
CPL,706.3,PC,6,55.030354
MPC,1558.7,PC,3,29.59657535
MPC-C,1874,PC,3,44.350731
CPL,739.6,PC,3,44.393015
RLC,1051.8,PC,3,1.579867742
RLC,1073,PC,6,1.595970677
RLC,702.9,PC,12,1.677362613
RLC,1227.2,PC,24,1.637375129